Blue Mastery 1,Blue Mastery 2,Blue Mastery 3,Blue Mastery 4,Blue Mastery 5,Blue Masteries Avg,Blue Mastery Min,Blue Mastery Max,Blue Masteries Median,Blue Masteries Kurtorsis,Blue Masteries Skewness,Blue Masteries Std,Blue Masteries Variance,Blue Winrate 1,Blue Winrate 2,Blue Winrate 3,Blue Winrate 4,Blue Winrate 5,Blue Winrates Avg,Blue Winrate Min,Blue Winrate Max,Blue Winrates Median,Blue Winrates Kurtorsis,Blue Winrates Skewness,Blue Winrates Std,Blue Winrates Variance,Red Mastery 1,Red Mastery 2,Red Mastery 3,Red Mastery 4,Red Mastery 5,Red Mastery Min,Red Mastery Max,Red Masteries Avg,Red Masteries Median,Red Masteries Kurtorsis,Red Masteries Skewness,Red Masteries Std,Red Masteries Variance,Red Winrate 1,Red Winrate 2,Red Winrate 3,Red Winrate 4,Red Winrate 5,Red Winrates Avg,Red Winrate Min,Red Winrate Max,Red Winrates Median,Red Winrates Kurtorsis,Red Winrates Skewness,Red Winrates Std,Red Winrates Variance,Blue Won
754270,530583,1840780,107497,10164,648658.8,10164,1840780,530583,1.859507341,1.351095624,655252.6656,4.29356E+11,0.530712531,0.4,0.520215633,0.608695652,0.571428571,0.526210478,0.4,0.608695652,0.530712531,1.865474266,-1.155722828,0.070475203,0.004966754,247402,200186,244734,19025,196579,19025,247402,181585.2,200186,3.756567787,-1.882946632,84043.13717,7063248905,0.486486486,0.648648649,0.558823529,0.619047619,0.62295082,0.587191421,0.486486486,0.648648649,0.619047619,0.317703237,-1.102118862,0.058338262,0.003403353,1
134532,79201,47741,18621,14758,58970.6,14758,134532,47741,0.128387824,0.979074531,44334.50663,1965548478,0.769230769,0.466666667,0.769230769,0.2,0.454545455,0.531934732,0.2,0.769230769,0.466666667,-1.174462694,-0.313774988,0.2158928,0.046609701,280501,23329,319946,36234,2662,2662,319946,132534.4,36234,-3.076368284,0.618027775,137901.1597,19016729848,0.498964803,0.4,0.51875,0.617021277,0.666666667,0.540280549,0.4,0.666666667,0.51875,-0.880060447,-0.135053934,0.093500565,0.008742356,1
141,13261,20295,36687,43346,22746,141,43346,20295,-1.515262364,-0.075165788,15656.75657,245134026.4,0,0.5,0.391304348,0.545454545,0.522727273,0.391897233,0,0.545454545,0.5,3.585189537,-1.892325392,0.202961252,0.04119327,21444,233371,5858,58127,45940,5858,233371,72948,45940,4.055432793,1.96371128,82265.86552,6767672630,0.485714286,0.609756098,1,0.454545455,0.875,0.685003168,0.454545455,1,0.609756098,-2.300629731,0.516931277,0.216245573,0.046762148,0
22604,356287,37099,366680,149541,186442.2,22604,366680,149541,-3.031623687,0.265194965,149559.9989,22368193273,0.5,0.538083538,0.689655172,0.546728972,0.576576577,0.570208852,0.5,0.689655172,0.546728972,2.575749891,1.456004149,0.064529985,0.004164119,533379,260967,63407,320825,66167,63407,533379,248949,260967,-0.521846441,0.600359333,175525.5593,30809221978,0.532407407,0.5,0.514705882,0.485714286,0.461538462,0.498873207,0.461538462,0.532407407,0.5,-0.381817654,-0.263786847,0.024263249,0.000588705,1
153731,445886,31519,240198,42182,182703.2,31519,445886,153731,0.50229773,1.026180636,152324.0602,23202619319,0.545454545,0.487179487,0.769230769,0.488636364,0.625,0.583100233,0.487179487,0.769230769,0.545454545,0.753070597,1.194928804,0.105774833,0.011188315,42371,7232,49073,4639,72165,4639,72165,35096,42371,-1.868212127,0.072381692,25793.11637,665284852,0.666666667,0.4,0.454545455,0.5,0.540540541,0.512350532,0.4,0.666666667,0.5,0.902381197,0.845260536,0.090249377,0.00814495,0
220687,333440,2189,30755,5918,118597.8,2189,333440,30755,-1.550996078,0.892466054,134568.5544,18108695843,0.539726027,0.56281407,0.666666667,0.387096774,0,0.431260708,0,0.666666667,0.539726027,2.268454304,-1.493234661,0.233419463,0.054484646,7542,3821,1522593,84303,305814,3821,1522593,384814.6,84303,4.246880371,2.048136426,579409.8277,3.35716E+11,1,0.5,0.611940299,0.537313433,0.501577287,0.630166204,0.5,1,0.537313433,4.045659558,1.996819231,0.189319417,0.035841842,0
88417,391516,91037,487822,12079,214174.2,12079,487822,91037,-2.48954003,0.618789081,188760.8782,35630669142,0.546875,0.55704698,0.483333333,0.477272727,0.5,0.512905608,0.477272727,0.55704698,0.5,-2.858624101,0.434811498,0.032903363,0.001082631,18237,112005,6589,2641667,690772,6589,2641667,693854,112005,3.664373599,1.920364828,1006113.786,1.01226E+12,0.423076923,0.538461538,0.166666667,0.542538354,0.586206897,0.451390076,0.166666667,0.586206897,0.538461538,2.459896421,-1.624401121,0.152272176,0.023186816,1
342708,2507,591005,13962,136032,217242.8,2507,591005,136032,-0.402751577,0.945711337,223369.3981,49893888009,0.517857143,0.285714286,0.479452055,0.5,0.6,0.476604697,0.285714286,0.6,0.5,2.749869171,-1.329437757,0.103848699,0.010784552,37715,208495,103690,134223,14965,14965,208495,99817.6,103690,-0.830931854,0.423111376,69377.51935,4813240191,0.636363636,0.561643836,0.62745098,0.672413793,0.75,0.649574449,0.561643836,0.75,0.636363636,0.974510607,0.422136856,0.061648509,0.003800539,0
59086,213296,26190,139998,10594,89832.8,10594,213296,59086,-0.991373261,0.824590052,76202.71409,5806853635,0.8,0.495867769,0.678571429,0.481481481,0.777777778,0.646739691,0.481481481,0.8,0.678571429,-2.982769055,-0.247727179,0.135458905,0.018349115,44493,41656,1381297,1083138,25624,25624,1381297,515241.6,44493,-2.6721208,0.721819247,592987.5608,3.51634E+11,0.557142857,0,0.536452666,0.576470588,0.5,0.434013222,0,0.576470588,0.536452666,4.728500747,-2.162204297,0.218481386,0.047734116,1
16268,244243,212046,165571,70557,141737,16268,244243,165571,-1.973858612,-0.423369624,85823.02422,7365591487,0.571428571,0.428571429,0.525547445,0.53125,0.510869565,0.513533402,0.428571429,0.571428571,0.525547445,2.42176357,-1.18452357,0.046980206,0.00220714,50235,25413,5599,38379,76999,5599,76999,39325,38379,0.156808331,0.297314866,23959.29929,574048022.4,0.516129032,0.585365854,0.625,0.857142857,0.571428571,0.631013263,0.516129032,0.857142857,0.585365854,3.451586204,1.752894983,0.118324267,0.014000632,0
